Country,Year,Per Capita Beef Consump.
Austria,2000,19.507198
Austria,2001,18.675701
Austria,2002,18.914215
Austria,2003,18.664463
Austria,2004,18.283525
Austria,2005,17.841213
Austria,2006,18.205616
Austria,2007,17.860197
Austria,2008,17.890211
Austria,2009,17.405983
Austria,2010,17.490005
Austria,2011,17.389994
Austria,2012,17.380001
Austria,2013,17.159998
Austria,2014,14.060014
Austria,2015,14.210005
Austria,2016,15.97
Austria,2017,15.510002
Austria,2018,16.829994
Austria,2019,16.220007
Austria,2020,15.010014
Austria,2021,14.12001
Austria,2022,14.280003
Belgium,2000,19.48089
Belgium,2001,20.738174
Belgium,2002,19.601423
Belgium,2003,18.725756
Belgium,2004,19.647074
Belgium,2005,18.772015
Belgium,2006,20.73747
Belgium,2007,20.691757
Belgium,2008,19.263166
Belgium,2009,18.352901
Belgium,2010,18.200018
Belgium,2011,16.11001
Belgium,2012,15.759996
Belgium,2013,15.550005
Belgium,2014,12.640008
Belgium,2015,12.269999
Belgium,2016,11.8399935
Belgium,2017,11.679997
Belgium,2018,12.099992
Belgium,2019,14.529996
Belgium,2020,14.04001
Belgium,2021,13.269997
Belgium,2022,13.070006
Bulgaria,2000,8.780528
Bulgaria,2001,11.099155
Bulgaria,2002,6.6768303
Bulgaria,2003,7.4024606
Bulgaria,2004,9.574524
Bulgaria,2005,12.57029
Bulgaria,2006,13.798699
Bulgaria,2007,5.0739684
Bulgaria,2008,5.118453
Bulgaria,2009,4.932169
Bulgaria,2010,4.8100038
Bulgaria,2011,4.399998
Bulgaria,2012,3.8599944
Bulgaria,2013,3.7799973
Bulgaria,2014,3.97
Bulgaria,2015,3.8800027
Bulgaria,2016,3.9499967
Bulgaria,2017,3.699999
Bulgaria,2018,3.3100023
Bulgaria,2019,4.0000024
Bulgaria,2020,3.329997
Bulgaria,2021,3.9700046
Bulgaria,2022,3.909999
Croatia,2000,7.0547295
Croatia,2001,5.6452394
Croatia,2002,6.03389
Croatia,2003,6.5038104
Croatia,2004,7.9423676
Croatia,2005,7.4880495
Croatia,2006,8.959301
Croatia,2007,8.857533
Croatia,2008,9.832303
Croatia,2009,10.475029
Croatia,2010,9.39
Croatia,2011,9.249985
Croatia,2012,12.840022
Croatia,2013,12.629991
Croatia,2014,11.619987
Croatia,2015,11.929995
Croatia,2016,12.360005
Croatia,2017,13.050007
Croatia,2018,13.720008
Croatia,2019,13.209973
Croatia,2020,12.160012
Croatia,2021,13.910011
Croatia,2022,14.499996
Cyprus,2000,6.3883834
Cyprus,2001,5.3226695
Cyprus,2002,5.3920608
Cyprus,2003,5.461244
Cyprus,2004,4.871011
Cyprus,2005,5.602882
Cyprus,2006,5.019233
Cyprus,2007,5.628496
Cyprus,2008,5.636578
Cyprus,2009,6.1563025
Cyprus,2010,6.709964
Cyprus,2011,6.7899823
Cyprus,2012,6.629983
Cyprus,2013,6.2399526
Cyprus,2014,6.439968
Cyprus,2015,6.2099795
Cyprus,2016,6.729978
Cyprus,2017,7.070034
Cyprus,2018,7.3999825
Cyprus,2019,7.480006
Cyprus,2020,6.26
Cyprus,2021,6.539995
Cyprus,2022,7.6699653
Czechia,2000,10.783878
Czechia,2001,9.2191515
Czechia,2002,9.675868
Czechia,2003,10.205089
Czechia,2004,10.345825
Czechia,2005,9.753141
Czechia,2006,9.24338
Czechia,2007,9.64043
Czechia,2008,9.370331
Czechia,2009,9.740393
Czechia,2010,9.750005
Czechia,2011,9.240002
Czechia,2012,8.269994
Czechia,2013,8.339997
Czechia,2014,8.310006
Czechia,2015,8.640002
Czechia,2016,9.590004
Czechia,2017,9.869997
Czechia,2018,10.250007
Czechia,2019,10.970009
Czechia,2020,10.310001
Czechia,2021,10.989996
Czechia,2022,10.619994
Denmark,2000,23.622658
Denmark,2001,24.312634
Denmark,2002,27.394453
Denmark,2003,28.369835
Denmark,2004,28.969984
Denmark,2005,26.962286
Denmark,2006,26.097147
Denmark,2007,26.34081
Denmark,2008,27.391153
Denmark,2009,26.013914
Denmark,2010,28.779974
Denmark,2011,29.30001
Denmark,2012,27.360044
Denmark,2013,28.599985
Denmark,2014,26.189978
Denmark,2015,26.19001
Denmark,2016,25.980019
Denmark,2017,23.620026
Denmark,2018,23.669983
Denmark,2019,24.61001
Denmark,2020,24.720003
Denmark,2021,23.600023
Denmark,2022,21.849997
Estonia,2000,13.180863
Estonia,2001,12.062882
Estonia,2002,13.065291
Estonia,2003,10.334194
Estonia,2004,12.111029
Estonia,2005,12.381103
Estonia,2006,13.504501
Estonia,2007,13.798796
Estonia,2008,13.9009695
Estonia,2009,12.614767
Estonia,2010,12.21
Estonia,2011,13.119941
Estonia,2012,10.400039
Estonia,2013,7.0
Estonia,2014,6.359966
Estonia,2015,6.51
Estonia,2016,7.48
Estonia,2017,7.459944
Estonia,2018,8.64992
Estonia,2019,7.9299874
Estonia,2020,8.469969
Estonia,2021,9.77
Estonia,2022,8.6899805
European Union,2000,17.083302
European Union,2001,16.119108
European Union,2002,16.52783
European Union,2003,16.49379
European Union,2004,16.531204
European Union,2005,16.418657
European Union,2006,16.617783
European Union,2007,16.525229
European Union,2008,15.986843
European Union,2009,16.09307
European Union,2010,15.849999
European Union,2011,15.35
European Union,2012,15.139999
European Union,2013,14.679999
European Union,2014,14.239999
European Union,2015,14.07
European Union,2016,14.19
European Union,2017,13.949999
European Union,2018,14.43
European Union,2019,14.43
European Union,2020,14.07
European Union,2021,14.1
European Union,2022,13.949999
Finland,2000,18.049313
Finland,2001,18.080105
Finland,2002,18.0381
Finland,2003,18.270147
Finland,2004,18.939468
Finland,2005,18.999718
Finland,2006,19.026329
Finland,2007,18.591541
Finland,2008,18.315914
Finland,2009,18.207533
Finland,2010,18.39001
Finland,2011,18.740015
Finland,2012,19.45997
Finland,2013,19.159975
Finland,2014,18.22998
Finland,2015,17.720003
Finland,2016,18.130007
Finland,2017,18.830006
Finland,2018,19.310036
Finland,2019,17.910019
Finland,2020,17.64998
Finland,2021,19.320004
Finland,2022,17.81
France,2000,25.92149
France,2001,27.350437
France,2002,27.940067
France,2003,26.197758
France,2004,26.166119
France,2005,26.442526
France,2006,25.684933
France,2007,26.575405
France,2008,25.736526
France,2009,26.009647
France,2010,25.849998
France,2011,25.300001
France,2012,25.020002
France,2013,23.779999
France,2014,23.789999
France,2015,23.760002
France,2016,23.620003
France,2017,22.990002
France,2018,23.11
France,2019,23.2
France,2020,22.530003
France,2021,22.47
France,2022,22.639997
Germany,2000,13.292943
Germany,2001,10.599124
Germany,2002,11.767327
Germany,2003,11.693966
Germany,2004,12.542719
Germany,2005,12.353658
Germany,2006,12.473577
Germany,2007,13.138483
Germany,2008,12.911389
Germany,2009,12.898538
Germany,2010,12.930001
Germany,2011,13.699998
Germany,2012,13.66
Germany,2013,13.44
Germany,2014,13.59
Germany,2015,14.17
Germany,2016,14.54
Germany,2017,14.88
Germany,2018,14.8
Germany,2019,14.410001
Germany,2020,14.68
Germany,2021,14.9
Germany,2022,13.93
Greece,2000,34.787052
Greece,2001,23.04539
Greece,2002,20.077118
Greece,2003,19.803806
Greece,2004,17.962645
Greece,2005,17.858105
Greece,2006,19.46497
Greece,2007,18.465479
Greece,2008,18.300116
Greece,2009,19.072699
Greece,2010,20.260008
Greece,2011,17.960003
Greece,2012,17.150013
Greece,2013,16.34001
Greece,2014,14.760001
Greece,2015,13.949998
Greece,2016,14.329992
Greece,2017,15.209997
Greece,2018,15.369991
Greece,2019,14.739999
Greece,2020,14.21
Greece,2021,14.349998
Greece,2022,14.759999
Hungary,2000,12.50084
Hungary,2001,9.898452
Hungary,2002,10.501538
Hungary,2003,11.999078
Hungary,2004,8.988617
Hungary,2005,6.3289924
Hungary,2006,7.851078
Hungary,2007,6.748053
Hungary,2008,5.7969346
Hungary,2009,5.686792
Hungary,2010,5.730001
Hungary,2011,6.440003
Hungary,2012,5.9999995
Hungary,2013,5.5300035
Hungary,2014,5.229998
Hungary,2015,4.9299994
Hungary,2016,5.2900004
Hungary,2017,5.489995
Hungary,2018,5.8099966
Hungary,2019,6.1100025
Hungary,2020,5.7700005
Hungary,2021,5.7400007
Hungary,2022,5.590001
Ireland,2000,17.826612
Ireland,2001,25.029547
Ireland,2002,26.871607
Ireland,2003,23.58623
Ireland,2004,27.775505
Ireland,2005,26.04702
Ireland,2006,27.462032
Ireland,2007,23.381386
Ireland,2008,21.4787
Ireland,2009,22.158215
Ireland,2010,21.99998
Ireland,2011,21.869987
Ireland,2012,22.219975
Ireland,2013,22.240019
Ireland,2014,18.960016
Ireland,2015,20.04997
Ireland,2016,19.859976
Ireland,2017,20.040009
Ireland,2018,23.390005
Ireland,2019,19.27999
Ireland,2020,20.250032
Ireland,2021,23.220009
Ireland,2022,23.130022
Italy,2000,24.80542
Italy,2001,23.875854
Italy,2002,24.093674
Italy,2003,24.72482
Italy,2004,23.56651
Italy,2005,23.671448
Italy,2006,24.413713
Italy,2007,24.203505
Italy,2008,23.030128
Italy,2009,23.714434
Italy,2010,23.32
Italy,2011,21.709997
Italy,2012,20.889996
Italy,2013,18.740002
Italy,2014,19.63
Italy,2015,17.420002
Italy,2016,17.270002
Italy,2017,16.22
Italy,2018,17.090002
Italy,2019,17.340002
Italy,2020,16.080002
Italy,2021,15.84
Italy,2022,16.05
Latvia,2000,10.702096
Latvia,2001,9.567339
Latvia,2002,8.059626
Latvia,2003,10.225606
Latvia,2004,10.610964
Latvia,2005,9.151585
Latvia,2006,7.5839224
Latvia,2007,8.694491
Latvia,2008,7.5497746
Latvia,2009,6.586307
Latvia,2010,5.40999
Latvia,2011,4.86
Latvia,2012,4.929978
Latvia,2013,5.2000155
Latvia,2014,4.759993
Latvia,2015,5.1299896
Latvia,2016,5.269992
Latvia,2017,5.589974
Latvia,2018,5.730012
Latvia,2019,6.069978
Latvia,2020,5.550003
Latvia,2021,4.979992
Latvia,2022,5.5900035
Lithuania,2000,14.619927
Lithuania,2001,11.024945
Lithuania,2002,12.446136
Lithuania,2003,13.599926
Lithuania,2004,11.49922
Lithuania,2005,12.782862
Lithuania,2006,7.875093
Lithuania,2007,7.7099924
Lithuania,2008,6.3970757
Lithuania,2009,4.9031773
Lithuania,2010,3.8399987
Lithuania,2011,3.5299976
Lithuania,2012,3.5499952
Lithuania,2013,4.4900017
Lithuania,2014,4.0399985
Lithuania,2015,3.949985
Lithuania,2016,4.480002
Lithuania,2017,4.919988
Lithuania,2018,5.60999
Lithuania,2019,5.5700064
Lithuania,2020,5.819988
Lithuania,2021,5.75
Lithuania,2022,5.3599944
Luxembourg,2000,30.000229
Luxembourg,2001,34.14389
Luxembourg,2002,31.042759
Luxembourg,2003,32.70551
Luxembourg,2004,31.618944
Luxembourg,2005,30.25324
Luxembourg,2006,30.874893
Luxembourg,2007,30.218477
Luxembourg,2008,31.869446
Luxembourg,2009,29.408426
Luxembourg,2010,30.869514
Luxembourg,2011,30.509825
Luxembourg,2012,31.099943
Luxembourg,2013,30.359552
Luxembourg,2014,27.98975
Luxembourg,2015,26.379997
Luxembourg,2016,27.679953
Luxembourg,2017,26.509733
Luxembourg,2018,27.269596
Luxembourg,2019,29.04967
Luxembourg,2020,28.640135
Luxembourg,2021,30.549713
Luxembourg,2022,30.619766
Malta,2000,27.209862
Malta,2001,16.713854
Malta,2002,21.45173
Malta,2003,20.911041
Malta,2004,21.574926
Malta,2005,21.265884
Malta,2006,21.489206
Malta,2007,20.799301
Malta,2008,20.609425
Malta,2009,20.375975
Malta,2010,19.299816
Malta,2011,19.359774
Malta,2012,19.459724
Malta,2013,19.69968
Malta,2014,25.579176
Malta,2015,20.810093
Malta,2016,19.179747
Malta,2017,19.939915
Malta,2018,18.28
Malta,2019,18.37011
Malta,2020,23.31991
Malta,2021,17.4199
Malta,2022,18.569859
Netherlands,2000,16.651327
Netherlands,2001,17.662313
Netherlands,2002,17.363667
Netherlands,2003,16.028608
Netherlands,2004,17.351185
Netherlands,2005,16.038935
Netherlands,2006,16.878532
Netherlands,2007,18.918339
Netherlands,2008,16.258131
Netherlands,2009,17.99618
Netherlands,2010,18.79001
Netherlands,2011,14.81
Netherlands,2012,15.209999
Netherlands,2013,17.439995
Netherlands,2014,16.180004
Netherlands,2015,15.860001
Netherlands,2016,15.829997
Netherlands,2017,15.569994
Netherlands,2018,15.579995
Netherlands,2019,15.300004
Netherlands,2020,16.339998
Netherlands,2021,16.549995
Netherlands,2022,16.609999
Poland,2000,8.059528
Poland,2001,6.371248
Poland,2002,5.9680433
Poland,2003,6.6280527
Poland,2004,6.0190434
Poland,2005,4.5096345
Poland,2006,5.136519
Poland,2007,4.6304407
Poland,2008,4.3923235
Poland,2009,4.1709504
Poland,2010,2.6799998
Poland,2011,2.7099998
Poland,2012,3.4800005
Poland,2013,2.8399994
Poland,2014,0.24999997
Poland,2015,0.36999995
Poland,2016,0.44000003
Poland,2017,0.17999999
Poland,2018,0.78
Poland,2019,1.0599998
Poland,2020,1.4400003
Poland,2021,0.25999996
Poland,2022,0.15000002
Portugal,2000,16.185814
Portugal,2001,14.035486
Portugal,2002,15.744186
Portugal,2003,16.925282
Portugal,2004,18.174128
Portugal,2005,17.413265
Portugal,2006,18.13216
Portugal,2007,18.406002
Portugal,2008,18.730478
Portugal,2009,18.438251
Portugal,2010,17.670002
Portugal,2011,17.15
Portugal,2012,16.339993
Portugal,2013,17.65002
Portugal,2014,18.919994
Portugal,2015,18.87001
Portugal,2016,19.239986
Portugal,2017,19.880003
Portugal,2018,20.839989
Portugal,2019,21.629982
Portugal,2020,20.470001
Portugal,2021,20.470005
Portugal,2022,21.399992
Romania,2000,7.0780406
Romania,2001,6.7988763
Romania,2002,7.215657
Romania,2003,8.359122
Romania,2004,7.4332027
Romania,2005,10.278136
Romania,2006,10.132659
Romania,2007,7.943211
Romania,2008,7.6542907
Romania,2009,7.976332
Romania,2010,6.5999985
Romania,2011,5.84
Romania,2012,5.7199993
Romania,2013,5.9700017
Romania,2014,6.729997
Romania,2015,7.2200003
Romania,2016,6.5600004
Romania,2017,5.2999988
Romania,2018,5.1699986
Romania,2019,4.2599998
Romania,2020,5.200001
Romania,2021,5.1300006
Romania,2022,4.6799984
Slovakia,2000,10.365389
Slovakia,2001,8.713845
Slovakia,2002,8.626514
Slovakia,2003,7.2946286
Slovakia,2004,5.933172
Slovakia,2005,6.487211
Slovakia,2006,6.1128263
Slovakia,2007,6.1329074
Slovakia,2008,5.707813
Slovakia,2009,5.0269966
Slovakia,2010,5.119993
Slovakia,2011,4.5400043
Slovakia,2012,5.159993
Slovakia,2013,5.289998
Slovakia,2014,5.379992
Slovakia,2015,5.440002
Slovakia,2016,5.6099977
Slovakia,2017,6.079998
Slovakia,2018,6.090001
Slovakia,2019,6.0900035
Slovakia,2020,6.039991
Slovakia,2021,6.5499926
Slovakia,2022,7.1700068
Slovenia,2000,24.599346
Slovenia,2001,20.21321
Slovenia,2002,19.084934
Slovenia,2003,24.13183
Slovenia,2004,23.417044
Slovenia,2005,23.54632
Slovenia,2006,20.881157
Slovenia,2007,21.391857
Slovenia,2008,21.342577
Slovenia,2009,20.654781
Slovenia,2010,19.99999
Slovenia,2011,19.789953
Slovenia,2012,18.919983
Slovenia,2013,18.569891
Slovenia,2014,17.14004
Slovenia,2015,18.020035
Slovenia,2016,18.129921
Slovenia,2017,17.49
Slovenia,2018,14.799972
Slovenia,2019,14.740013
Slovenia,2020,15.119992
Slovenia,2021,12.139972
Slovenia,2022,12.219995
Spain,2000,14.543992
Spain,2001,14.466573
Spain,2002,15.288874
Spain,2003,14.994933
Spain,2004,15.469998
Spain,2005,15.397052
Spain,2006,15.055239
Spain,2007,14.630743
Spain,2008,14.404157
Spain,2009,13.95131
Spain,2010,13.49
Spain,2011,12.9
Spain,2012,12.359999
Spain,2013,12.159999
Spain,2014,11.200001
Spain,2015,11.200002
Spain,2016,11.54
Spain,2017,11.470002
Spain,2018,13.630001
Spain,2019,13.22
Spain,2020,11.990002
Spain,2021,12.779997
Spain,2022,12.819998
Sweden,2000,19.71978
Sweden,2001,20.33166
Sweden,2002,22.963806
Sweden,2003,23.616596
Sweden,2004,23.646286
Sweden,2005,23.860605
Sweden,2006,24.02477
Sweden,2007,24.018112
Sweden,2008,23.558514
Sweden,2009,23.308195
Sweden,2010,23.79999
Sweden,2011,24.179993
Sweden,2012,23.800032
Sweden,2013,24.51
Sweden,2014,23.409979
Sweden,2015,24.479994
Sweden,2016,23.559998
Sweden,2017,23.149992
Sweden,2018,20.98
Sweden,2019,23.330023
Sweden,2020,21.960016
Sweden,2021,21.669992
Sweden,2022,22.140009
